               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,             0.14544,            0.031098,                   0,             0.39703,             0.20238,             0.15871,             0.03663,             0.14116,            0.017995,                   0,           0.0094301,           0.0094301,           0.0094301
                  88,             0.14409,            0.026783,                   0,             0.35538,             0.20536,              0.1554,             0.04019,             0.14141,            0.018079,                   0,           0.0094171,           0.0094171,           0.0094171
                  89,             0.14555,            0.032842,                   0,             0.35538,             0.20536,              0.1554,             0.04019,             0.14141,            0.018091,                   0,            0.009404,            0.009404,            0.009404
                  90,             0.14278,            0.024536,                   0,             0.44702,             0.17857,             0.15162,            0.038802,             0.14105,            0.018072,                   0,           0.0093907,           0.0093907,           0.0093907
                  91,              0.1462,            0.026203,                   0,             0.44702,             0.17857,             0.15162,            0.038802,             0.14105,            0.018087,                   0,           0.0093773,           0.0093773,           0.0093773
                  92,              0.1469,            0.025671,                   0,             0.41139,             0.20238,             0.17382,            0.040827,             0.14091,            0.018288,                   0,           0.0093638,           0.0093638,           0.0093638
                  93,             0.14533,            0.030886,                   0,             0.41139,             0.20238,             0.17382,            0.040827,             0.14091,            0.018278,                   0,           0.0093501,           0.0093501,           0.0093501
                  94,             0.14701,            0.024685,                   0,             0.42574,             0.19048,             0.16593,            0.041404,             0.14091,            0.018366,                   0,           0.0093363,           0.0093363,           0.0093363
                  95,             0.14789,            0.025402,                   0,             0.42574,             0.19048,             0.16593,            0.041404,             0.14091,            0.018338,                   0,           0.0093224,           0.0093224,           0.0093224
                  96,             0.14491,            0.029113,                   0,             0.41433,             0.19643,             0.16401,            0.042992,             0.14086,            0.018368,                   0,           0.0093083,           0.0093083,           0.0093083
